Sample in Buffer,Sample in Window,TRIGGER,reg_valid_bytes_ad[15:5],U_reg_aes/reg_crypt_noncein_reg[127]_1[127:0],U_reg_aes/reg_crypt_textin_buffer_msg[127:0],control[4:0],write_data[7:0],reg_valid_bytes_msg[15:5]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
113,113,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
114,114,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
115,115,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
116,116,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
117,117,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
118,118,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
119,119,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
120,120,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,0b,000
121,121,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,4b,000
122,122,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
123,123,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
124,124,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
125,125,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
126,126,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
127,127,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
128,128,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
129,129,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
130,130,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
131,131,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
132,132,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
133,133,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
134,134,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
135,135,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
136,136,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
137,137,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,cb,000
138,138,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,db,000
139,139,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,db,000
140,140,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,db,000
141,141,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,fb,000
142,142,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,fb,000
143,143,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,fb,000
144,144,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,fb,000
145,145,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,fb,000
146,146,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,fb,000
147,147,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,fb,000
148,148,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
149,149,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
150,150,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
151,151,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
152,152,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
153,153,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
154,154,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
155,155,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
156,156,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
157,157,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
158,158,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
159,159,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
160,160,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
161,161,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
162,162,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
163,163,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
164,164,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
165,165,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
166,166,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
167,167,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
168,168,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
169,169,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
170,170,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
171,171,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
172,172,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
173,173,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
174,174,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
175,175,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
176,176,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
177,177,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
178,178,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
179,179,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
180,180,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
181,181,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
182,182,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
183,183,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
184,184,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
185,185,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
186,186,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
187,187,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
188,188,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
189,189,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
190,190,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
191,191,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
192,192,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
193,193,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
194,194,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
195,195,0,000,0f0e0d0c0b0a09080706050403020100,7856341211ccbbaa3412cdab003002f1,0b,ff,000
