Sample in Buffer,Sample in Window,TRIGGER,mealy_fsm/current_state[4:0],crypt_noncein[127:0],crypt_key[127:0],U_reg_aes/reg_crypt_tagout[127:0],tag2[63:0],crypt_start,extra_padding_ff,ready_tag,u_ascon_top/last_cycle,u_ascon_top/sel_padding,u_ascon_top/sel_xor_signal
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
100,100,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,4d966b41cd601c87,0,0,0,0,0,0
101,101,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,80375fa60f60926d,0,0,0,0,0,0
102,102,0,"INIT_ROUND_SHIFT_LAST",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,0351db75907c9056,0,0,0,1,0,0
103,103,0,"INIT_ROUND_DIFFUSE",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,50b40f946d629f62,0,0,0,0,0,0
104,104,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,51a1d643f1180ad6,0,0,0,0,0,0
105,105,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,4d57815207d57234,0,0,0,0,0,0
106,106,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,f14c580e401447d7,0,0,0,0,0,0
107,107,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,be3c376b316b4300,0,0,0,0,0,0
108,108,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,af99f6d6a488bf13,0,0,0,0,0,0
109,109,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,973761d052e530e3,0,0,0,0,0,0
110,110,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,ba0ddb8c494a86dc,0,0,0,0,0,0
111,111,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,2679316539143804,0,0,0,0,0,0
112,112,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,6040e2ce9cc742ff,0,0,0,0,0,0
113,113,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,e588058032640f14,0,0,0,0,0,0
114,114,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,73ef261d08c28223,0,0,0,0,0,0
115,115,0,"INIT_ROUND_SHIFT",0f0e0d0c0b0a09080706050403020100,000102030405060708090a0b0c0d0e0f,db46a245f6edc24619fa40aa26eb8afb,f506ba937c041817,0,0,0,0,0,0
